,image,ruler,sticker,ink
0,ISIC_0024306,0.0,0.0,0.0
1,ISIC_0024307,0.0,0.0,0.0
2,ISIC_0024308,0.0,0.0,0.0
3,ISIC_0024309,0.0,0.0,0.0
4,ISIC_0024310,1.0,0.0,0.0
5,ISIC_0024311,0.0,0.0,0.0
6,ISIC_0024312,0.0,0.0,0.0
7,ISIC_0024313,1.0,0.0,0.0
8,ISIC_0024314,0.0,0.0,0.0
9,ISIC_0024315,0.0,0.0,0.0
10,ISIC_0024316,0.0,0.0,0.0
11,ISIC_0024317,0.0,0.0,0.0
12,ISIC_0024318,0.0,0.0,0.0
13,ISIC_0024319,0.0,0.0,0.0
14,ISIC_0024320,0.0,0.0,0.0
15,ISIC_0024321,0.0,0.0,0.0
16,ISIC_0024322,0.0,0.0,0.0
17,ISIC_0024323,1.0,0.0,0.0
18,ISIC_0024324,0.0,0.0,0.0
19,ISIC_0024325,0.0,0.0,0.0
20,ISIC_0024326,0.0,0.0,0.0
21,ISIC_0024327,0.0,0.0,0.0
22,ISIC_0024328,0.0,0.0,0.0
23,ISIC_0024329,1.0,0.0,0.0
24,ISIC_0024330,0.0,0.0,0.0
25,ISIC_0024331,0.0,0.0,0.0
26,ISIC_0024332,1.0,0.0,0.0
27,ISIC_0024333,1.0,0.0,0.0
28,ISIC_0024334,0.0,0.0,0.0
29,ISIC_0024335,0.0,0.0,0.0
30,ISIC_0024336,1.0,0.0,0.0
31,ISIC_0024337,0.0,0.0,0.0
32,ISIC_0024338,1.0,0.0,0.0
33,ISIC_0024339,0.0,0.0,0.0
34,ISIC_0024340,0.0,0.0,0.0
35,ISIC_0024341,0.0,0.0,0.0
36,ISIC_0024342,0.0,0.0,0.0
37,ISIC_0024343,0.0,0.0,0.0
38,ISIC_0024344,1.0,0.0,0.0
39,ISIC_0024345,1.0,0.0,0.0
40,ISIC_0024346,0.0,0.0,0.0
41,ISIC_0024347,0.0,0.0,0.0
42,ISIC_0024348,0.0,0.0,0.0
43,ISIC_0024349,0.0,0.0,0.0
44,ISIC_0024350,0.0,0.0,0.0
45,ISIC_0024351,0.0,0.0,0.0
46,ISIC_0024352,0.0,0.0,0.0
47,ISIC_0024353,0.0,0.0,0.0
48,ISIC_0024354,0.0,0.0,0.0
49,ISIC_0024355,0.0,0.0,0.0
50,ISIC_0024356,1.0,0.0,0.0
51,ISIC_0024357,0.0,0.0,0.0
52,ISIC_0024358,1.0,0.0,0.0
53,ISIC_0024359,0.0,0.0,0.0
54,ISIC_0024360,1.0,0.0,0.0
55,ISIC_0024361,0.0,0.0,0.0
56,ISIC_0024362,0.0,0.0,0.0
57,ISIC_0024363,1.0,0.0,0.0
58,ISIC_0024364,0.0,0.0,0.0
59,ISIC_0024365,0.0,0.0,0.0
60,ISIC_0024366,0.0,0.0,0.0
61,ISIC_0024367,1.0,0.0,0.0
62,ISIC_0024368,0.0,0.0,0.0
63,ISIC_0024369,0.0,0.0,0.0
64,ISIC_0024370,0.0,0.0,0.0
65,ISIC_0024371,1.0,0.0,0.0
66,ISIC_0024372,1.0,0.0,0.0
67,ISIC_0024373,0.0,0.0,0.0
68,ISIC_0024374,0.0,0.0,0.0
69,ISIC_0024375,0.0,0.0,0.0
70,ISIC_0024376,0.0,0.0,0.0
71,ISIC_0024377,1.0,0.0,0.0
72,ISIC_0024378,1.0,0.0,0.0
73,ISIC_0024379,0.0,0.0,0.0
74,ISIC_0024380,0.0,0.0,0.0
75,ISIC_0024381,1.0,0.0,0.0
76,ISIC_0024382,0.0,0.0,0.0
77,ISIC_0024383,0.0,0.0,0.0
78,ISIC_0024384,0.0,0.0,0.0
79,ISIC_0024385,0.0,0.0,0.0
80,ISIC_0024386,0.0,0.0,0.0
81,ISIC_0024387,1.0,0.0,0.0
82,ISIC_0024388,0.0,0.0,0.0
83,ISIC_0024389,0.0,0.0,0.0
84,ISIC_0024390,0.0,0.0,0.0
85,ISIC_0024391,0.0,0.0,0.0
86,ISIC_0024392,0.0,0.0,0.0
87,ISIC_0024393,0.0,0.0,0.0
88,ISIC_0024394,0.0,0.0,0.0
89,ISIC_0024395,0.0,0.0,0.0
90,ISIC_0024396,0.0,0.0,0.0
91,ISIC_0024397,0.0,0.0,0.0
92,ISIC_0024398,0.0,0.0,0.0
93,ISIC_0024399,0.0,0.0,0.0
94,ISIC_0024400,1.0,0.0,0.0
95,ISIC_0024401,0.0,0.0,0.0
96,ISIC_0024402,1.0,0.0,0.0
97,ISIC_0024403,0.0,0.0,0.0
98,ISIC_0024404,0.0,0.0,0.0
99,ISIC_0024405,0.0,0.0,0.0
100,ISIC_0024406,0.0,0.0,0.0
101,ISIC_0024407,0.0,0.0,0.0
102,ISIC_0024408,1.0,0.0,0.0
103,ISIC_0024409,1.0,0.0,0.0
104,ISIC_0024410,0.0,0.0,0.0
105,ISIC_0024411,0.0,0.0,0.0
106,ISIC_0024412,0.0,0.0,0.0
107,ISIC_0024413,0.0,0.0,0.0
108,ISIC_0024414,0.0,0.0,0.0
109,ISIC_0024415,0.0,0.0,0.0
110,ISIC_0024416,1.0,0.0,0.0
111,ISIC_0024417,0.0,0.0,0.0
112,ISIC_0024418,0.0,0.0,0.0
113,ISIC_0024419,0.0,0.0,0.0
114,ISIC_0024420,0.0,0.0,1.0
115,ISIC_0024421,0.0,0.0,0.0
116,ISIC_0024422,0.0,0.0,0.0
117,ISIC_0024423,0.0,0.0,0.0
118,ISIC_0024424,0.0,0.0,0.0
119,ISIC_0024425,1.0,0.0,0.0
120,ISIC_0024426,0.0,0.0,0.0
121,ISIC_0024427,0.0,0.0,0.0
122,ISIC_0024428,0.0,0.0,0.0
123,ISIC_0024429,0.0,0.0,0.0
124,ISIC_0024430,0.0,0.0,0.0
125,ISIC_0024431,1.0,0.0,0.0
126,ISIC_0024432,1.0,0.0,0.0
127,ISIC_0024433,0.0,0.0,0.0
128,ISIC_0024434,0.0,0.0,0.0
129,ISIC_0024435,1.0,0.0,0.0
130,ISIC_0024436,1.0,0.0,0.0
131,ISIC_0024437,0.0,0.0,0.0
132,ISIC_0024438,0.0,0.0,0.0
133,ISIC_0024439,1.0,0.0,0.0
134,ISIC_0024440,0.0,0.0,0.0
135,ISIC_0024441,0.0,0.0,0.0
136,ISIC_0024442,0.0,0.0,0.0
137,ISIC_0024443,1.0,0.0,0.0
138,ISIC_0024444,0.0,0.0,0.0
139,ISIC_0024445,0.0,0.0,0.0
140,ISIC_0024446,0.0,0.0,0.0
141,ISIC_0024447,1.0,0.0,0.0
142,ISIC_0024448,0.0,0.0,0.0
143,ISIC_0024449,0.0,0.0,0.0
144,ISIC_0024450,1.0,0.0,0.0
145,ISIC_0024451,0.0,0.0,0.0
146,ISIC_0024452,1.0,0.0,0.0
147,ISIC_0024453,1.0,0.0,0.0
148,ISIC_0024454,1.0,0.0,0.0
149,ISIC_0024455,0.0,0.0,0.0
150,ISIC_0024456,0.0,0.0,0.0
151,ISIC_0024457,1.0,0.0,0.0
152,ISIC_0024458,0.0,0.0,0.0
153,ISIC_0024459,0.0,0.0,0.0
154,ISIC_0024460,0.0,0.0,0.0
155,ISIC_0024461,0.0,0.0,0.0
156,ISIC_0024462,0.0,0.0,0.0
157,ISIC_0024463,1.0,0.0,0.0
158,ISIC_0024464,0.0,0.0,0.0
159,ISIC_0024465,0.0,0.0,0.0
160,ISIC_0024466,0.0,0.0,0.0
161,ISIC_0024467,0.0,0.0,0.0
162,ISIC_0024468,0.0,0.0,0.0
163,ISIC_0024469,0.0,0.0,0.0
164,ISIC_0024470,0.0,0.0,0.0
165,ISIC_0024471,1.0,0.0,0.0
166,ISIC_0024472,1.0,0.0,0.0
167,ISIC_0024473,0.0,0.0,0.0
168,ISIC_0024474,0.0,0.0,0.0
169,ISIC_0024475,0.0,0.0,0.0
170,ISIC_0024476,0.0,0.0,0.0
171,ISIC_0024477,0.0,0.0,0.0
172,ISIC_0024478,0.0,0.0,0.0
173,ISIC_0024479,1.0,0.0,0.0
174,ISIC_0024480,1.0,0.0,0.0
175,ISIC_0024481,1.0,0.0,0.0
176,ISIC_0024482,1.0,0.0,0.0
177,ISIC_0024483,0.0,0.0,0.0
178,ISIC_0024484,0.0,0.0,0.0
179,ISIC_0024485,0.0,0.0,0.0
180,ISIC_0024486,0.0,0.0,0.0
181,ISIC_0024487,0.0,0.0,0.0
182,ISIC_0024488,0.0,0.0,0.0
183,ISIC_0024489,1.0,0.0,0.0
184,ISIC_0024490,1.0,0.0,0.0
185,ISIC_0024491,0.0,0.0,0.0
186,ISIC_0024492,0.0,0.0,0.0
187,ISIC_0024493,0.0,0.0,0.0
188,ISIC_0024494,1.0,0.0,0.0
189,ISIC_0024495,1.0,0.0,0.0
190,ISIC_0024496,0.0,0.0,0.0
191,ISIC_0024497,0.0,0.0,0.0
192,ISIC_0024498,1.0,0.0,0.0
193,ISIC_0024499,0.0,0.0,0.0
194,ISIC_0024500,0.0,0.0,0.0
195,ISIC_0024501,0.0,0.0,0.0
196,ISIC_0024502,0.0,0.0,0.0
197,ISIC_0024503,0.0,0.0,0.0
198,ISIC_0024504,0.0,0.0,0.0
199,ISIC_0024505,0.0,0.0,0.0
200,ISIC_0024506,0.0,0.0,0.0
201,ISIC_0024507,0.0,0.0,0.0
202,ISIC_0024508,0.0,0.0,0.0
203,ISIC_0024509,0.0,0.0,0.0
204,ISIC_0024510,0.0,0.0,0.0
205,ISIC_0024511,1.0,0.0,0.0
206,ISIC_0024512,0.0,0.0,0.0
207,ISIC_0024513,0.0,0.0,0.0
208,ISIC_0024514,1.0,0.0,0.0
209,ISIC_0024515,0.0,0.0,1.0
210,ISIC_0024516,1.0,0.0,0.0
211,ISIC_0024517,0.0,0.0,0.0
212,ISIC_0024518,0.0,0.0,0.0
213,ISIC_0024519,1.0,0.0,0.0
214,ISIC_0024520,0.0,0.0,0.0
215,ISIC_0024521,0.0,0.0,0.0
216,ISIC_0024522,0.0,0.0,0.0
217,ISIC_0024523,0.0,0.0,0.0
218,ISIC_0024524,0.0,0.0,0.0
219,ISIC_0024525,1.0,0.0,0.0
220,ISIC_0024526,0.0,0.0,0.0
221,ISIC_0024527,0.0,0.0,0.0
222,ISIC_0024528,0.0,0.0,0.0
223,ISIC_0024529,0.0,0.0,0.0
224,ISIC_0024530,0.0,0.0,0.0
225,ISIC_0024531,0.0,0.0,0.0
226,ISIC_0024532,0.0,0.0,0.0
227,ISIC_0024533,0.0,0.0,0.0
228,ISIC_0024534,0.0,0.0,0.0
229,ISIC_0024535,0.0,0.0,0.0
230,ISIC_0024536,0.0,0.0,0.0
231,ISIC_0024537,0.0,0.0,0.0
232,ISIC_0024538,0.0,0.0,0.0
233,ISIC_0024539,1.0,0.0,0.0
234,ISIC_0024540,0.0,0.0,0.0
235,ISIC_0024541,0.0,0.0,0.0
236,ISIC_0024542,0.0,0.0,0.0
237,ISIC_0024543,0.0,0.0,0.0
238,ISIC_0024544,0.0,0.0,0.0
239,ISIC_0024545,0.0,0.0,0.0
240,ISIC_0024546,0.0,0.0,0.0
241,ISIC_0024547,0.0,0.0,0.0
242,ISIC_0024548,0.0,0.0,0.0
243,ISIC_0024549,0.0,0.0,0.0
244,ISIC_0024550,1.0,0.0,0.0
245,ISIC_0024551,0.0,0.0,0.0
246,ISIC_0024552,0.0,0.0,0.0
247,ISIC_0024553,0.0,0.0,0.0
248,ISIC_0024554,1.0,0.0,0.0
249,ISIC_0024555,0.0,0.0,0.0
250,ISIC_0024556,0.0,0.0,0.0
251,ISIC_0024557,0.0,0.0,0.0
252,ISIC_0024558,0.0,0.0,0.0
253,ISIC_0024559,0.0,0.0,0.0
254,ISIC_0024560,1.0,0.0,0.0
255,ISIC_0024561,1.0,0.0,0.0
256,ISIC_0024562,0.0,0.0,0.0
257,ISIC_0024563,0.0,0.0,0.0
258,ISIC_0024564,0.0,0.0,0.0
259,ISIC_0024565,0.0,0.0,0.0
260,ISIC_0024566,0.0,0.0,0.0
261,ISIC_0024567,0.0,0.0,0.0
262,ISIC_0024568,0.0,0.0,0.0
263,ISIC_0024569,0.0,0.0,0.0
264,ISIC_0024570,0.0,0.0,0.0
265,ISIC_0024571,0.0,0.0,0.0
266,ISIC_0024572,0.0,0.0,0.0
267,ISIC_0024573,0.0,0.0,0.0
268,ISIC_0024574,0.0,0.0,0.0
269,ISIC_0024575,0.0,0.0,0.0
270,ISIC_0024576,0.0,0.0,0.0
271,ISIC_0024577,0.0,0.0,0.0
272,ISIC_0024578,0.0,0.0,0.0
273,ISIC_0024579,1.0,0.0,0.0
274,ISIC_0024580,0.0,0.0,0.0
275,ISIC_0024581,1.0,0.0,0.0
276,ISIC_0024582,0.0,0.0,0.0
277,ISIC_0024583,0.0,0.0,0.0
278,ISIC_0024584,0.0,0.0,0.0
279,ISIC_0024585,0.0,0.0,0.0
280,ISIC_0024586,1.0,0.0,0.0
281,ISIC_0024587,0.0,0.0,0.0
