epoch     train_loss  valid_loss  accuracy  time    
0         2.760424    1.734196    0.488268  01:03     
1         1.968067    1.080993    0.684973  00:35     
2         1.339782    0.709884    0.758362  00:34     
epoch     train_loss  valid_loss  accuracy  time    
0         1.094126    0.657270    0.774338  00:43     
1         1.032812    0.613687    0.787319  00:43     
2         0.969986    0.580224    0.794309  00:43     
3         0.963111    0.558856    0.798802  00:43     
4         0.913431    0.534009    0.805292  00:43     
5         0.888997    0.516278    0.825761  00:43     
6         0.855031    0.502560    0.823764  00:43     
7         0.808267    0.479675    0.829755  00:43     
8         0.790628    0.481202    0.828757  00:43     
9         0.764376    0.454505    0.844234  00:43     
10        0.745660    0.451519    0.844234  00:43     
11        0.723228    0.432443    0.845731  00:43     
12        0.713167    0.421115    0.858213  00:43     
13        0.681727    0.398827    0.866700  00:43     
14        0.655626    0.410257    0.859211  00:43     
15        0.644226    0.394995    0.862207  00:43     
16        0.632437    0.410761    0.855716  00:43     
17        0.635807    0.379569    0.866700  00:43     
18        0.604260    0.382034    0.868198  00:43     
19        0.594097    0.367476    0.870694  00:43     
20        0.604910    0.374177    0.866700  00:43     
21        0.596439    0.381854    0.862706  00:43     
22        0.587695    0.344749    0.886171  00:42     
23        0.565887    0.330224    0.884174  00:43     
24        0.549809    0.454409    0.833749  00:43     
25        0.544099    0.378617    0.870195  00:43     
26        0.554794    0.345595    0.884673  00:43     
27        0.523254    0.328374    0.888667  00:43     
28        0.530725    0.323943    0.893160  00:43     
29        0.538971    0.318898    0.894658  00:43     
30        0.517100    0.384682    0.860210  00:43     
31        0.513302    0.319330    0.884174  00:43     
32        0.499762    0.322066    0.891662  00:43     
33        0.502212    0.337535    0.888168  00:43     
34        0.489637    0.318503    0.896156  00:43     
35        0.498939    0.301648    0.902147  00:43     
36        0.472187    0.342910    0.889665  00:43     
37        0.483389    0.308043    0.901648  00:43     
38        0.484703    0.299087    0.902147  00:43     
39        0.468385    0.306386    0.905642  00:43     
40        0.469381    0.299398    0.903145  00:43     
41        0.458400    0.296448    0.901148  00:43     
42        0.464026    0.316585    0.897154  00:43     
43        0.460930    0.307161    0.900150  00:43     
44        0.453536    0.289835    0.905642  00:43     
45        0.452900    0.285635    0.907639  00:43     
46        0.457900    0.267339    0.916126  00:43     
47        0.445982    0.278246    0.909136  00:43     
48        0.440344    0.293720    0.904643  00:43     
49        0.422326    0.282296    0.906141  00:43     
50        0.442795    0.292670    0.907639  00:43     
51        0.434665    0.268631    0.912631  00:43     
52        0.429418    0.270743    0.913130  00:43     
53        0.431770    0.266056    0.911133  00:43     
54        0.431079    0.275070    0.908138  00:43     
55        0.418698    0.280113    0.910135  00:43     
56        0.415032    0.265932    0.915627  00:43     
57        0.406928    0.263391    0.915127  00:43     
58        0.413952    0.277261    0.909136  00:43     
59        0.423049    0.268416    0.911133  00:43     
60        0.394298    0.287144    0.902646  00:43     
61        0.406659    0.278583    0.908138  00:43     
62        0.413567    0.262113    0.914628  00:43     
63        0.402829    0.258650    0.913630  00:43     
64        0.403153    0.246156    0.917624  00:43     
65        0.400749    0.255456    0.916625  00:43     
66        0.399541    0.264058    0.913630  00:43     
67        0.392748    0.249794    0.917624  00:43     
68        0.404964    0.248810    0.917124  00:43     
69        0.397919    0.247776    0.918123  00:43     
70        0.397322    0.247677    0.920120  00:43     
71        0.395317    0.248774    0.917124  00:43     
72        0.403212    0.251179    0.920120  00:43     
73        0.389056    0.248805    0.917624  00:43     
74        0.395980    0.248487    0.923615  00:43     
75        0.386757    0.245027    0.922616  00:43     
76        0.391348    0.245171    0.924114  00:43     
77        0.394583    0.248644    0.919621  00:43     
78        0.381685    0.239631    0.923115  00:43     
79        0.391150    0.246903    0.918123  00:43     
80        0.391027    0.241083    0.921118  00:43     
81        0.386452    0.244278    0.919121  00:43     
82        0.391011    0.242705    0.920120  00:43     
83        0.372454    0.240896    0.918622  00:43     
84        0.386830    0.243629    0.920120  00:43     
85        0.395781    0.242934    0.918622  00:43     
86        0.377321    0.243252    0.920619  00:43     
87        0.379919    0.239115    0.920619  00:43     
88        0.387116    0.247327    0.918123  00:43     
89        0.380512    0.238184    0.925112  00:43     
90        0.389707    0.243379    0.922616  00:43     
91        0.410424    0.242380    0.918123  00:43     
92        0.395678    0.244329    0.919621  00:43     
93        0.385295    0.240915    0.924114  00:43     
94        0.379900    0.242491    0.922117  00:43     
95        0.378959    0.238377    0.923115  00:43     
96        0.382530    0.242164    0.920120  00:43     
97        0.374304    0.241668    0.919621  00:43     
98        0.387985    0.241704    0.922117  00:43     
99        0.383368    0.239586    0.922616  00:43
